p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99,p_100,p_101,p_102,p_103,p_104,p_105,p_106,p_107,p_108,p_109,p_110,p_111,p_112,p_113,p_114,p_115,p_116,p_117,p_118,p_119,p_120,p_121,p_122,p_123,p_124,p_125,label
0.37404924631118774,0.7603123784065247,-3.7593235191479835e-09,0.3980443775653839,0.6398710012435913,0.0010288790799677372,0.44713330268859863,0.5467300415039062,-0.007844677194952965,0.4872506260871887,0.46765273809432983,-0.014771063812077045,0.5086300373077393,0.4001762270927429,-0.017223574221134186,0.5354136824607849,0.6040648221969604,-0.02692163549363613,0.5979896783828735,0.603194534778595,-0.004737043287605047,0.5653033256530762,0.606368362903595,0.0245475135743618,0.526099681854248,0.6100417375564575,0.04219663888216019,0.5456259250640869,0.6793178915977478,-0.02622731775045395,0.5994885563850403,0.6718851327896118,0.0004000029875896871,0.5699218511581421,0.6671271920204163,0.02824307791888714,0.5345097184181213,0.6720148324966431,0.04338369891047478,0.5417217016220093,0.7480990290641785,-0.020236020907759666,0.5837801694869995,0.7281572222709656,0.010358781553804874,0.5612701177597046,0.7236359715461731,0.034223176538944244,0.5338091254234314,0.7276451587677002,0.04474993795156479,0.5319460034370422,0.8039877414703369,-0.014614282175898552,0.5624362230300903,0.7767859697341919,0.01705559343099594,0.5417572855949402,0.7716662287712097,0.037873946130275726,0.5203162431716919,0.7760714888572693,0.04927420616149902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Good
0.37347516417503357,0.7659222483634949,-3.01914315770091e-09,0.39403510093688965,0.6450436115264893,0.003385648364201188,0.4439241290092468,0.5521357655525208,-0.003891297150403261,0.48527631163597107,0.47662121057510376,-0.00969526544213295,0.5062738060951233,0.411013126373291,-0.01151999831199646,0.5316896438598633,0.602165937423706,-0.026997247710824013,0.5983148813247681,0.6034041047096252,-0.005990838631987572,0.5667058825492859,0.6089457273483276,0.023083966225385666,0.526911199092865,0.6147124171257019,0.04062778130173683,0.544023871421814,0.6776813864707947,-0.02785465307533741,0.6007598638534546,0.6729838848114014,-0.003465342801064253,0.5705668926239014,0.6706311702728271,0.02369953878223896,0.5348720550537109,0.6765817999839783,0.03880304470658302,0.541924238204956,0.7470958232879639,-0.023215873166918755,0.5857332944869995,0.7303580045700073,0.005787480156868696,0.5610436797142029,0.7272993922233582,0.02952549234032631,0.5330617427825928,0.7318577170372009,0.04007815942168236,0.5336518287658691,0.8039489388465881,-0.01880793645977974,0.5648819208145142,0.7785987257957458,0.011421067640185356,0.5426379442214966,0.7735380530357361,0.031679995357990265,0.5206180214881897,0.77796471118927,0.042826250195503235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Good
0.3748885691165924,0.7744460701942444,-2.3610695620845945e-09,0.39535120129585266,0.6532645225524902,0.003183121094480157,0.4447728395462036,0.5547717809677124,-0.004390607587993145,0.4858693480491638,0.47518181800842285,-0.011074608191847801,0.5053383708000183,0.4083133339881897,-0.013815630227327347,0.5291085839271545,0.6103755831718445,-0.024956556037068367,0.5964393615722656,0.6096312403678894,-0.00584677467122674,0.5663413405418396,0.6150026321411133,0.021276071667671204,0.5277013778686523,0.6178403496742249,0.03762272372841835,0.5419386029243469,0.6852297186851501,-0.027056530117988586,0.5981972813606262,0.676599383354187,-0.003000754863023758,0.5689558386802673,0.6752080917358398,0.022834474220871925,0.534182608127594,0.6812577247619629,0.03662800043821335,0.5416765809059143,0.7540948390960693,-0.024204986169934273,0.5849107503890991,0.7321195006370544,0.0038407451938837767,0.5616328120231628,0.7307819724082947,0.026636533439159393,0.534346878528595,0.7368812561035156,0.036473263055086136,0.5361429452896118,0.8115553259849548,-0.021895011886954308,0.5672006607055664,0.7810664772987366,0.007681490387767553,0.5450751781463623,0.7774840593338013,0.027697576209902763,0.5224659442901611,0.7839208245277405,0.0385732427239418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Good
0.3718070685863495,0.7830688953399658,-2.3493909040439576e-09,0.39443933963775635,0.6609829068183899,0.009914548136293888,0.44336262345314026,0.5670166611671448,0.005430180579423904,0.4877842664718628,0.49627506732940674,0.0012915581464767456,0.5130648016929626,0.44091174006462097,0.0009045719052664936,0.5262094140052795,0.6249884963035583,-0.02430521510541439,0.5940667390823364,0.6187034845352173,-0.003522056620568037,0.5633321404457092,0.622312605381012,0.026548773050308228,0.524973452091217,0.626892626285553,0.0451791025698185,0.5386990904808044,0.7007923722267151,-0.028792330995202065,0.597594141960144,0.689715564250946,-0.0040774475783109665,0.5686834454536438,0.6874364614486694,0.02551497519016266,0.5347628593444824,0.694029688835144,0.04229767248034477,0.5390983819961548,0.7700818181037903,-0.027296626940369606,0.5856369137763977,0.7467437982559204,0.002099211560562253,0.562748372554779,0.7427551746368408,0.02929823286831379,0.5360839366912842,0.748174786567688,0.041967738419771194,0.5344192981719971,0.8255177736282349,-0.025602959096431732,0.5681214332580566,0.7942493557929993,0.004822550341486931,0.5467068552970886,0.7886313199996948,0.027736537158489227,0.5240485072135925,0.7946774959564209,0.04075797647237778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Good
0.36871209740638733,0.8137868046760559,-2.3939898952107797e-09,0.385728657245636,0.6876419186592102,0.0025971317663788795,0.43427181243896484,0.5880017876625061,-0.005821833852678537,0.47594207525253296,0.5072385668754578,-0.01241692341864109,0.496528685092926,0.4360106289386749,-0.01483754999935627,0.5220397710800171,0.6441645622253418,-0.03243192657828331,0.5950108170509338,0.6357212662696838,-0.013190178200602531,0.5656237006187439,0.6401919722557068,0.0171124916523695,0.5258976817131042,0.6472643613815308,0.03613010793924332,0.5370324850082397,0.720811128616333,-0.03310432285070419,0.5984268188476562,0.7051283717155457,-0.009245452471077442,0.5675036907196045,0.7034153342247009,0.02078825980424881,0.5309978723526001,0.7124848961830139,0.03819212317466736,0.5388489961624146,0.791066586971283,-0.028330307453870773,0.5842786431312561,0.7632673978805542,-0.0007046155515126884,0.5595897436141968,0.7607179880142212,0.02501315250992775,0.5320112109184265,0.7671111822128296,0.03749731555581093,0.5350912809371948,0.8478115797042847,-0.023847663775086403,0.5642836093902588,0.8121572732925415,0.006017949432134628,0.5394644141197205,0.8076186180114746,0.027635496109724045,0.5157482028007507,0.8140217065811157,0.040164485573768616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Good
0.36055639386177063,0.8114707469940186,-2.4274360299614273e-09,0.3818289041519165,0.6859267354011536,0.009795056656002998,0.430395245552063,0.5875915288925171,0.0035140616819262505,0.47193947434425354,0.5092176198959351,-0.0014672698453068733,0.4932771325111389,0.4423181414604187,-0.002197353867813945,0.5188280940055847,0.6458327174186707,-0.033680450171232224,0.5916799306869507,0.6351124048233032,-0.012590398080646992,0.563302755355835,0.6389207243919373,0.020840061828494072,0.5242904424667358,0.6460797190666199,0.04220282658934593,0.5318760871887207,0.723633885383606,-0.03686213865876198,0.5937809944152832,0.7084216475486755,-0.009988230653107166,0.5634310841560364,0.7051281332969666,0.026271658018231392,0.5264244079589844,0.712615430355072,0.04758897423744202,0.5309001803398132,0.7942737340927124,-0.03354409337043762,0.5802114009857178,0.7689696550369263,-0.002974310889840126,0.5564866662025452,0.763145923614502,0.029248811304569244,0.5284154415130615,0.7674121856689453,0.045543599873781204,0.5237259864807129,0.8515788316726685,-0.029816972091794014,0.5586687922477722,0.8180443048477173,0.0012201208155602217,0.5360693335533142,0.8103091716766357,0.026976175606250763,0.5119131803512573,0.8144426345825195,0.0425664521753788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Good
0.34958791732788086,0.7999535799026489,-2.4658066699601022e-09,0.37164974212646484,0.6725754141807556,0.006365850567817688,0.4233758747577667,0.5682001113891602,0.0001512286253273487,0.46472254395484924,0.48584428429603577,-0.005462626926600933,0.4854188561439514,0.419583261013031,-0.0068852766416966915,0.5104691386222839,0.6277619004249573,-0.02428603731095791,0.5837134718894958,0.6219586730003357,-0.004340090788900852,0.5563597679138184,0.6278219819068909,0.025001689791679382,0.5179988741874695,0.6346869468688965,0.04347015917301178,0.5225682258605957,0.705201268196106,-0.02719482220709324,0.585824191570282,0.6928712725639343,-0.0025336432736366987,0.5563835501670837,0.6911291480064392,0.026617681607604027,0.5185350775718689,0.6985504031181335,0.04349324479699135,0.5223681330680847,0.7759910225868225,-0.024817004799842834,0.5745604038238525,0.7510815262794495,0.0036763797979801893,0.5506020784378052,0.7473385334014893,0.030195947736501694,0.5206944942474365,0.7523607015609741,0.043216217309236526,0.5169248580932617,0.8341580629348755,-0.022727759554982185,0.5557720065116882,0.7999863624572754,0.007260417100042105,0.5339947938919067,0.7940669655799866,0.030057433992624283,0.509625256061554,0.799648106098175,0.04349324479699135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Good
0.3475021719932556,0.7989125847816467,-3.5617035987201007e-09,0.36949658393859863,0.6714839935302734,0.009628566913306713,0.42033255100250244,0.5718496441841125,0.0030461284331977367,0.4609561562538147,0.4890505373477936,-0.0023371160496026278,0.48213687539100647,0.41858336329460144,-0.0033379034139215946,0.5113776922225952,0.6297208666801453,-0.031908489763736725,0.5840150117874146,0.6192413568496704,-0.010229622945189476,0.5548151135444641,0.6254203915596008,0.022338274866342545,0.5156041383743286,0.6353321075439453,0.04290256276726723,0.52439284324646,0.7076260447502136,-0.03452279046177864,0.5859190225601196,0.6913291215896606,-0.008128845132887363,0.5557740330696106,0.6889525055885315,0.025816231966018677,0.5178002119064331,0.6981621980667114,0.045726943761110306,0.5232784748077393,0.7783958911895752,-0.030414599925279617,0.5697799921035767,0.7511422634124756,0.0013574821641668677,0.5454639196395874,0.7471897602081299,0.03214190900325775,0.516401469707489,0.7532908320426941,0.04736088216304779,0.5157175064086914,0.8350731730461121,-0.02602631039917469,0.5482270121574402,0.8006062507629395,0.0071134683676064014,0.5261716246604919,0.7940720915794373,0.03221193328499794,0.5034264922142029,0.7996189594268799,0.04698741063475609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Good
0.348749041557312,0.7975029945373535,-2.1658426163639888e-09,0.37148135900497437,0.668324887752533,0.011367082595825195,0.4200874865055084,0.5686763525009155,0.006310445722192526,0.4586446285247803,0.4861416518688202,0.002191209001466632,0.4787684679031372,0.4180770218372345,0.0022400012239813805,0.5089884400367737,0.6284075379371643,-0.02786768600344658,0.5813800692558289,0.62053382396698,-0.004663342610001564,0.5514335632324219,0.6250250935554504,0.027820371091365814,0.5125155448913574,0.633877694606781,0.04807056859135628,0.5229539275169373,0.7061917781829834,-0.03061187081038952,0.5839318633079529,0.6917863488197327,-0.002646601991727948,0.5534350872039795,0.6882665753364563,0.0300914216786623,0.5161250233650208,0.697533369064331,0.048780277371406555,0.5231499671936035,0.7756971716880798,-0.02637730911374092,0.5679665803909302,0.7506291270256042,0.007528769783675671,0.5443381667137146,0.7454566955566406,0.03647875413298607,0.5165356397628784,0.7505000233650208,0.04986848682165146,0.5173813700675964,0.8314633965492249,-0.02174057997763157,0.5462756752967834,0.7991017699241638,0.013661789707839489,0.5240659713745117,0.7926980257034302,0.038016438484191895,0.5021095275878906,0.7975361347198486,0.05171371251344681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Good
0.34799522161483765,0.7985939383506775,-2.826928025001507e-09,0.3702890872955322,0.6721311807632446,0.008389055728912354,0.4213448166847229,0.5709496140480042,0.0007255027303472161,0.46139436960220337,0.4871070981025696,-0.006258502136915922,0.4809976816177368,0.41647467017173767,-0.00924590788781643,0.5078498721122742,0.6297996044158936,-0.032143574208021164,0.581709623336792,0.6235842704772949,-0.013223327696323395,0.5535745024681091,0.6310669183731079,0.01656968705356121,0.5151586532592773,0.640540599822998,0.03522361442446709,0.5213766098022461,0.7076255083084106,-0.03584888204932213,0.583036482334137,0.69612056016922,-0.011729625053703785,0.5530315637588501,0.6954413056373596,0.019360249862074852,0.5148899555206299,0.7047650218009949,0.03709942847490311,0.5212867856025696,0.7781598567962646,-0.03334779664874077,0.5661906003952026,0.7548859119415283,-0.0037226795684546232,0.5415967702865601,0.7525291442871094,0.024431893602013588,0.5128183960914612,0.7584413290023804,0.03786364197731018,0.5153017044067383,0.8352578282356262,-0.03080039657652378,0.5450981855392456,0.8040122985839844,0.0010450135450810194,0.5225227475166321,0.7988430857658386,0.024524526670575142,0.5000414848327637,0.8038747906684875,0.03797943890094757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Good
